no_rooms,sqm,yield_on_mortgage_credit_bonds%,price_usd_log,house_age,year,quarter_num,house_type_Farm,house_type_Summerhouse,house_type_Townhouse,house_type_Villa,region_Fyn & islands,region_Jutland,region_Zealand,sales_type_family_sale,sales_type_other_sale,sales_type_regular_sale,"area_Capital, Copenhagen",area_East & mid jutland,area_Fyn & islands,area_North Zealand,area_North jutland,area_Other islands,area_South jutland
4.0,207.0,4.34,12.276069679344003,95.0,2024,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
4.0,123.0,4.34,13.156766736486944,49.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
3.0,99.0,4.34,13.586098651497313,115.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
8.0,172.0,4.34,12.492194751867263,49.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
6.0,151.0,4.34,13.02860419418272,26.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,58.0,4.34,13.347506528186324,172.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
3.0,77.0,4.34,12.385268489034784,38.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,109.0,4.34,13.726680437153236,5.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
5.0,166.0,4.34,13.557388582251582,29.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,69.0,4.34,12.425212191503038,105.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
6.0,180.0,4.34,13.104710477786945,14.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,100.0,4.34,12.995100297792556,8.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,111.0,4.34,13.104710477786945,60.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
6.0,204.0,4.34,13.199326270390594,48.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
5.0,170.0,4.34,12.40697467786825,59.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,64.0,4.34,11.710759413394692,115.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
3.0,134.0,4.34,11.221248757912162,123.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
5.0,151.0,4.34,12.434207718447004,108.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,94.0,4.34,12.586223364451623,60.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
4.0,118.0,4.34,13.425797236505868,7.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
6.0,158.0,4.34,13.049794835104816,61.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
4.0,116.0,4.34,11.119897691565697,65.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,81.0,4.34,12.180759965737863,43.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,100.0,4.34,11.225256725762893,115.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
